"id","entityA.id","entityA.type","entityB.id","entityB.type","date","temperature"
"4_12_3","4","Dragon","12","Dragon","-1099450451758","592"
"4_12_4","4","Dragon","12","Dragon","-1115482405093","104"
"3_12_0","3","Dragon","12","Dragon","-703228388078","283"
"3_12_1","3","Dragon","12","Dragon","-988385866504","343"
"3_12_3","3","Dragon","12","Dragon","-1921720451122","619"
"3_12_4","3","Dragon","12","Dragon","-1336864092059","620"
"3_12_5","3","Dragon","12","Dragon","-1413928345012","477"
"3_12_6","3","Dragon","12","Dragon","-1786525350852","656"
"3_12_7","3","Dragon","12","Dragon","-1477097434375","268"
"2_12_0","2","Dragon","12","Dragon","379377697496","398"
"2_12_1","2","Dragon","12","Dragon","-1529934799200","603"
"2_12_3","2","Dragon","12","Dragon","304307899461","154"
"2_12_4","2","Dragon","12","Dragon","-452493712550","579"
"2_12_6","2","Dragon","12","Dragon","784193172013","700"
"0_13_1","0","Dragon","13","Dragon","-265012187269","570"
"9_13_0","9","Dragon","13","Dragon","-1038820238683","206"
"9_13_1","9","Dragon","13","Dragon","484594352592","694"
"9_13_2","9","Dragon","13","Dragon","-1853523157121","322"
"9_13_3","9","Dragon","13","Dragon","-1223856391693","415"
"9_13_4","9","Dragon","13","Dragon","-467219811404","311"
"9_13_5","9","Dragon","13","Dragon","-1684986197140","677"
"9_13_6","9","Dragon","13","Dragon","-1068315506817","332"
"9_13_7","9","Dragon","13","Dragon","934593673747","331"
"4_13_0","4","Dragon","13","Dragon","578781639012","582"
"4_13_1","4","Dragon","13","Dragon","910848751821","268"
"4_13_2","4","Dragon","13","Dragon","520239622911","437"
"8_14_0","8","Dragon","14","Dragon","459785039441","650"
"8_14_1","8","Dragon","14","Dragon","92128686106","382"
"8_14_2","8","Dragon","14","Dragon","-1035268424584","302"
"8_14_3","8","Dragon","14","Dragon","-1235431862486","661"
"8_14_4","8","Dragon","14","Dragon","-170734919270","504"
"8_14_5","8","Dragon","14","Dragon","729142665856","285"
"9_14_0","9","Dragon","14","Dragon","-991744136681","239"
"9_14_1","9","Dragon","14","Dragon","-1153749134743","147"
"9_14_2","9","Dragon","14","Dragon","-685227907970","496"
"11_14_0","11","Dragon","14","Dragon","-755987320078","598"
"11_14_2","11","Dragon","14","Dragon","-1410313049803","603"
"11_14_3","11","Dragon","14","Dragon","-1012039529829","595"
"14_15_0","14","Dragon","15","Dragon","784415936304","662"
"14_15_1","14","Dragon","15","Dragon","484279641874","609"
"9_15_0","9","Dragon","15","Dragon","-1733230026640","682"
"9_15_1","9","Dragon","15","Dragon","-650474168789","487"
"9_15_4","9","Dragon","15","Dragon","-275093996322","548"
"9_15_5","9","Dragon","15","Dragon","-2088308668006","507"
"5_15_0","5","Dragon","15","Dragon","518672130840","247"
"5_15_1","5","Dragon","15","Dragon","-1736101953320","579"
"5_15_2","5","Dragon","15","Dragon","-1048084118675","227"
"5_15_3","5","Dragon","15","Dragon","-1664498396639","458"
"5_15_5","5","Dragon","15","Dragon","-1065702673992","608"
"5_15_6","5","Dragon","15","Dragon","-654423697958","613"
"5_15_7","5","Dragon","15","Dragon","-443008148811","410"
"9_16_1","9","Dragon","16","Dragon","-845853895919","345"
"9_16_2","9","Dragon","16","Dragon","-809427607212","280"
"9_16_3","9","Dragon","16","Dragon","-2154333506250","574"
"9_16_5","9","Dragon","16","Dragon","-1180280076133","436"
"12_16_1","12","Dragon","16","Dragon","-1964044273192","488"
"12_16_2","12","Dragon","16","Dragon","323424550943","108"
"12_16_4","12","Dragon","16","Dragon","-945056290811","646"
"12_16_5","12","Dragon","16","Dragon","-61837908330","546"
"5_16_0","5","Dragon","16","Dragon","-628305392664","466"
"5_16_3","5","Dragon","16","Dragon","-1255259811772","217"
"5_16_4","5","Dragon","16","Dragon","-1668291834965","552"
"5_16_6","5","Dragon","16","Dragon","-1183751078202","441"
"10_17_0","10","Dragon","17","Dragon","-2147300937431","289"
"10_17_1","10","Dragon","17","Dragon","188817845479","245"
"10_17_2","10","Dragon","17","Dragon","-1618839729838","310"
"10_17_4","10","Dragon","17","Dragon","-953509443260","540"
"10_17_5","10","Dragon","17","Dragon","636815035767","656"
"10_17_7","10","Dragon","17","Dragon","-1114529077025","345"
"12_17_0","12","Dragon","17","Dragon","284394484570","609"
"12_17_1","12","Dragon","17","Dragon","725711443405","443"
"5_17_1","5","Dragon","17","Dragon","911211498994","528"
"5_17_2","5","Dragon","17","Dragon","-2028292780175","614"
"5_17_5","5","Dragon","17","Dragon","-1219851706565","528"
"5_17_6","5","Dragon","17","Dragon","-2076043101500","329"
"0_18_0","0","Dragon","18","Dragon","101078390236","375"
"0_18_1","0","Dragon","18","Dragon","-948219716513","585"
"0_18_2","0","Dragon","18","Dragon","-139656206987","635"
"0_18_5","0","Dragon","18","Dragon","508467384624","395"
"0_18_6","0","Dragon","18","Dragon","652726889168","560"
"0_18_7","0","Dragon","18","Dragon","397460375748","381"
"9_18_0","9","Dragon","18","Dragon","377017396879","418"
"9_18_1","9","Dragon","18","Dragon","-998685916660","304"
"10_18_0","10","Dragon","18","Dragon","-1436706474247","142"
"10_18_2","10","Dragon","18","Dragon","-1044182892744","127"
"10_18_3","10","Dragon","18","Dragon","857848872021","596"
"10_18_4","10","Dragon","18","Dragon","-1055644275372","185"
"10_18_5","10","Dragon","18","Dragon","-1971003793947","165"
"10_18_6","10","Dragon","18","Dragon","326032384541","477"
"14_19_0","14","Dragon","19","Dragon","-1135735559344","161"
"14_19_1","14","Dragon","19","Dragon","-1639970758869","672"
"14_19_2","14","Dragon","19","Dragon","-1263151235354","597"
"14_19_3","14","Dragon","19","Dragon","376714032766","654"
"14_19_4","14","Dragon","19","Dragon","600096847511","176"
"6_19_0","6","Dragon","19","Dragon","-1295005039000","493"
"6_19_1","6","Dragon","19","Dragon","-1925333991445","446"
"6_19_3","6","Dragon","19","Dragon","-490569461129","293"
"6_19_5","6","Dragon","19","Dragon","242188293148","108"
"6_19_6","6","Dragon","19","Dragon","-1338493571371","285"
"6_19_7","6","Dragon","19","Dragon","4233534142","152"
"4_19_0","4","Dragon","19","Dragon","-1156856579820","621"
"4_19_2","4","Dragon","19","Dragon","132426996683","424"
"4_19_3","4","Dragon","19","Dragon","-650374571992","636"
"4_19_4","4","Dragon","19","Dragon","97386878730","292"
"4_19_5","4","Dragon","19","Dragon","-66919872758","688"
"6_20_1","6","Dragon","20","Dragon","-1786683253166","301"
"6_20_2","6","Dragon","20","Dragon","-1901508416227","330"
"4_20_0","4","Dragon","20","Dragon","-280389420193","216"
"4_20_2","4","Dragon","20","Dragon","-991741564887","343"
"4_20_4","4","Dragon","20","Dragon","329340585926","684"
"4_20_5","4","Dragon","20","Dragon","-1643916886894","357"
"10_20_0","10","Dragon","20","Dragon","-967702899968","472"
"10_20_1","10","Dragon","20","Dragon","-966453206562","304"
"10_20_2","10","Dragon","20","Dragon","418203884377","666"
"10_20_3","10","Dragon","20","Dragon","-1874663140135","206"
"9_21_1","9","Dragon","21","Dragon","-1291426313824","682"
"9_21_3","9","Dragon","21","Dragon","-790234254260","276"
"9_21_4","9","Dragon","21","Dragon","-472459132003","411"
"9_21_5","9","Dragon","21","Dragon","359970823024","487"
"14_21_1","14","Dragon","21","Dragon","-451353650785","128"
"14_21_2","14","Dragon","21","Dragon","-984295638729","392"
"4_21_0","4","Dragon","21","Dragon","841332577629","425"
"4_21_1","4","Dragon","21","Dragon","-1733298579456","668"
"4_21_4","4","Dragon","21","Dragon","-439350022705","142"
"4_21_5","4","Dragon","21","Dragon","575280505341","262"
"4_21_6","4","Dragon","21","Dragon","-1823736461035","559"
"4_21_7","4","Dragon","21","Dragon","-780111314421","297"
"6_22_0","6","Dragon","22","Dragon","392954206409","122"
"6_22_1","6","Dragon","22","Dragon","892633069229","202"
"6_22_2","6","Dragon","22","Dragon","-1268258983074","613"
"6_22_3","6","Dragon","22","Dragon","-687518500307","621"
"6_22_4","6","Dragon","22","Dragon","-1018560214585","215"
"4_22_1","4","Dragon","22","Dragon","-280219471443","383"
"4_22_2","4","Dragon","22","Dragon","-1755808747483","379"
"4_22_3","4","Dragon","22","Dragon","-48045567689","518"
"10_22_0","10","Dragon","22","Dragon","-1886800435524","607"
"10_22_1","10","Dragon","22","Dragon","-186651841948","171"
"10_22_2","10","Dragon","22","Dragon","-336733602731","374"
"8_23_0","8","Dragon","23","Dragon","-1983763608090","464"
"8_23_1","8","Dragon","23","Dragon","148988275593","552"
"8_23_2","8","Dragon","23","Dragon","-2103183226687","248"
"8_23_3","8","Dragon","23","Dragon","-808666443579","107"
"5_23_1","5","Dragon","23","Dragon","-809892638884","561"
"2_23_0","2","Dragon","23","Dragon","841975079584","320"
"2_23_1","2","Dragon","23","Dragon","-402630459764","451"
"2_23_2","2","Dragon","23","Dragon","-647510570906","256"
"2_23_3","2","Dragon","23","Dragon","-2132367824311","394"
"2_23_4","2","Dragon","23","Dragon","567427733770","495"
"2_23_5","2","Dragon","23","Dragon","-91111758724","417"
"2_23_6","2","Dragon","23","Dragon","-1145494588863","529"
"7_24_0","7","Dragon","24","Dragon","701161338126","283"
"7_24_5","7","Dragon","24","Dragon","105536682132","177"
"8_24_0","8","Dragon","24","Dragon","-2183369662948","680"
"8_24_2","8","Dragon","24","Dragon","347008106222","312"
"8_24_3","8","Dragon","24","Dragon","-1035020700028","602"
"8_24_4","8","Dragon","24","Dragon","190510418841","387"
"8_24_5","8","Dragon","24","Dragon","-776969378669","579"
"8_24_6","8","Dragon","24","Dragon","5530585262","655"
"8_24_7","8","Dragon","24","Dragon","-1270357883615","325"
"10_24_1","10","Dragon","24","Dragon","-68490312604","384"
"10_24_2","10","Dragon","24","Dragon","252818097520","267"
"10_24_3","10","Dragon","24","Dragon","-1245056704696","689"
"10_24_4","10","Dragon","24","Dragon","-2002244141926","172"
"10_24_5","10","Dragon","24","Dragon","-1793099096206","604"
"1_25_0","1","Dragon","25","Dragon","-1222797042104","386"
"1_25_1","1","Dragon","25","Dragon","-1340991252684","350"
"1_25_4","1","Dragon","25","Dragon","584620473600","264"
"1_25_5","1","Dragon","25","Dragon","163353056100","158"
"1_25_6","1","Dragon","25","Dragon","-426667562229","481"
"1_25_7","1","Dragon","25","Dragon","-149242402069","438"
"5_25_0","5","Dragon","25","Dragon","371957300226","545"
"5_25_1","5","Dragon","25","Dragon","-396936074712","699"
"5_25_2","5","Dragon","25","Dragon","339960531196","697"
"5_25_3","5","Dragon","25","Dragon","844667798845","432"
"5_25_4","5","Dragon","25","Dragon","-1012474768930","302"
"5_25_5","5","Dragon","25","Dragon","802167574278","193"
"10_25_0","10","Dragon","25","Dragon","-775179068197","598"
"10_25_1","10","Dragon","25","Dragon","-178471770689","373"
"10_25_4","10","Dragon","25","Dragon","-2085646792641","151"
"24_26_0","24","Dragon","26","Dragon","284381493997","386"
"24_26_1","24","Dragon","26","Dragon","-948087605200","664"
"24_26_3","24","Dragon","26","Dragon","-546562105148","285"
"24_26_5","24","Dragon","26","Dragon","-1511594323151","140"
"24_26_6","24","Dragon","26","Dragon","907804811912","368"
"9_26_1","9","Dragon","26","Dragon","-1776660104581","454"
"9_26_2","9","Dragon","26","Dragon","-174876261184","260"
"9_26_3","9","Dragon","26","Dragon","-623179747248","213"
"13_26_1","13","Dragon","26","Dragon","-428023694611","473"
"13_26_2","13","Dragon","26","Dragon","-1965835732021","273"
"12_27_0","12","Dragon","27","Dragon","-1907608939574","355"
"12_27_1","12","Dragon","27","Dragon","-326447684525","636"
"12_27_2","12","Dragon","27","Dragon","-983603417966","333"
"12_27_3","12","Dragon","27","Dragon","-220069546235","275"
"12_27_5","12","Dragon","27","Dragon","-1260010149020","577"
"11_27_0","11","Dragon","27","Dragon","271159497089","409"
"11_27_1","11","Dragon","27","Dragon","-1993079245340","681"
"2_27_0","2","Dragon","27","Dragon","653291381659","284"
"2_27_2","2","Dragon","27","Dragon","-530927419108","124"
"16_28_1","16","Dragon","28","Dragon","577625454169","651"
"16_28_2","16","Dragon","28","Dragon","569528566201","451"
"16_28_3","16","Dragon","28","Dragon","-2119127564324","204"
"12_28_0","12","Dragon","28","Dragon","652306534755","207"
"12_28_1","12","Dragon","28","Dragon","-1714136395969","458"
"5_28_0","5","Dragon","28","Dragon","-477819878705","304"
"5_28_3","5","Dragon","28","Dragon","-522142678601","536"
"24_29_0","24","Dragon","29","Dragon","868968938299","269"
"24_29_2","24","Dragon","29","Dragon","-875514685491","227"
"24_29_4","24","Dragon","29","Dragon","-493371271356","374"
"10_29_0","10","Dragon","29","Dragon","11040613618","531"
"10_29_1","10","Dragon","29","Dragon","537359068698","613"
"10_29_3","10","Dragon","29","Dragon","93494437561","552"
"10_29_4","10","Dragon","29","Dragon","351380423260","458"
"2_29_0","2","Dragon","29","Dragon","-1384201106872","592"
"2_29_1","2","Dragon","29","Dragon","-1862309373839","502"
"2_29_2","2","Dragon","29","Dragon","709534155749","181"
"5_30_1","5","Dragon","30","Dragon","-1985466840528","301"
"5_30_3","5","Dragon","30","Dragon","-1563175976346","552"
"3_30_0","3","Dragon","30","Dragon","-805522901648","576"
"3_30_1","3","Dragon","30","Dragon","-136916375468","227"
"3_30_2","3","Dragon","30","Dragon","250726385592","340"
"3_30_3","3","Dragon","30","Dragon","-1048174951554","125"
"3_30_4","3","Dragon","30","Dragon","529833563485","210"
"2_30_0","2","Dragon","30","Dragon","-975528985875","320"
"2_30_1","2","Dragon","30","Dragon","472669345559","156"
"2_30_2","2","Dragon","30","Dragon","-1537316747480","439"
"2_30_3","2","Dragon","30","Dragon","-256634946510","500"
"7_31_1","7","Dragon","31","Dragon","620602351966","498"
"7_31_2","7","Dragon","31","Dragon","874032969694","471"
"7_31_3","7","Dragon","31","Dragon","-1449160189562","138"
"7_31_4","7","Dragon","31","Dragon","-1290237271912","631"
"7_31_6","7","Dragon","31","Dragon","-1841246556265","583"
"7_31_7","7","Dragon","31","Dragon","-653592972878","571"
"11_31_0","11","Dragon","31","Dragon","-186508370319","640"
"11_31_2","11","Dragon","31","Dragon","241328399578","124"
"16_31_2","16","Dragon","31","Dragon","-1288845163233","363"
"20_32_0","20","Dragon","32","Dragon","473173903408","505"
"20_32_1","20","Dragon","32","Dragon","-1139552239478","104"
"20_32_2","20","Dragon","32","Dragon","776364645722","129"
"20_32_3","20","Dragon","32","Dragon","-1800798485092","162"
"11_32_0","11","Dragon","32","Dragon","-182231210605","224"
"11_32_1","11","Dragon","32","Dragon","227099356836","252"
"11_32_2","11","Dragon","32","Dragon","-1637123781239","574"
"11_32_3","11","Dragon","32","Dragon","-1794647736587","555"
"11_32_4","11","Dragon","32","Dragon","-167816555034","441"
"11_32_5","11","Dragon","32","Dragon","-1360738798276","612"
"11_32_6","11","Dragon","32","Dragon","-796836344605","518"
"10_32_0","10","Dragon","32","Dragon","788452772396","424"
"10_32_1","10","Dragon","32","Dragon","-396647185636","177"
"10_32_2","10","Dragon","32","Dragon","-679117461507","563"
"9_33_1","9","Dragon","33","Dragon","-1543004732490","635"
"9_33_2","9","Dragon","33","Dragon","351859937508","624"
"9_33_3","9","Dragon","33","Dragon","-2051676433999","445"
"9_33_4","9","Dragon","33","Dragon","-1300800141175","214"
"9_33_7","9","Dragon","33","Dragon","-1871353023102","463"
"4_33_0","4","Dragon","33","Dragon","-2132756108088","343"
"4_33_1","4","Dragon","33","Dragon","-493864679478","219"
"4_33_2","4","Dragon","33","Dragon","-467953268209","197"
"4_33_3","4","Dragon","33","Dragon","-1661420217603","185"
"4_33_4","4","Dragon","33","Dragon","-486354348704","275"
"4_33_5","4","Dragon","33","Dragon","486745074865","523"
"2_33_0","2","Dragon","33","Dragon","-277544526659","511"
"2_33_1","2","Dragon","33","Dragon","-771684778894","594"
"2_33_2","2","Dragon","33","Dragon","616143332047","366"
"2_33_3","2","Dragon","33","Dragon","889224952623","459"
"2_33_5","2","Dragon","33","Dragon","-1467884686179","699"
"2_33_6","2","Dragon","33","Dragon","484631810604","123"
"8_34_0","8","Dragon","34","Dragon","-31831656306","121"
"8_34_2","8","Dragon","34","Dragon","85918612739","265"
"8_34_3","8","Dragon","34","Dragon","232921643337","250"
"8_34_4","8","Dragon","34","Dragon","-1690555377826","524"
"19_34_2","19","Dragon","34","Dragon","16991516973","189"
"19_34_3","19","Dragon","34","Dragon","578930855088","459"
"19_34_4","19","Dragon","34","Dragon","482414904800","603"
"19_34_5","19","Dragon","34","Dragon","-1635056636257","466"
"19_34_6","19","Dragon","34","Dragon","-1312505490870","104"
"19_34_7","19","Dragon","34","Dragon","-1162173980542","689"
"7_34_1","7","Dragon","34","Dragon","351214440118","667"
"7_34_2","7","Dragon","34","Dragon","-1960343628486","459"
"7_34_3","7","Dragon","34","Dragon","736433216626","359"
"7_34_4","7","Dragon","34","Dragon","526112879961","391"
"7_34_5","7","Dragon","34","Dragon","-867451065945","170"
"6_35_1","6","Dragon","35","Dragon","-209309695525","383"
"10_35_0","10","Dragon","35","Dragon","-970679536185","194"
"10_35_1","10","Dragon","35","Dragon","-462680458917","103"
"10_35_6","10","Dragon","35","Dragon","744951238403","227"
"18_35_0","18","Dragon","35","Dragon","-491939188000","521"
"7_36_0","7","Dragon","36","Dragon","420337619593","620"
"7_36_1","7","Dragon","36","Dragon","-1194789944268","238"
"7_36_2","7","Dragon","36","Dragon","-674181586193","299"
"7_36_3","7","Dragon","36","Dragon","-1285674360345","583"
"7_36_4","7","Dragon","36","Dragon","44985916282","126"
"7_36_5","7","Dragon","36","Dragon","-1694415628355","101"
"7_36_6","7","Dragon","36","Dragon","-1256462715250","167"
"7_36_7","7","Dragon","36","Dragon","-338173067885","443"
"6_36_0","6","Dragon","36","Dragon","756431567296","136"
"6_36_1","6","Dragon","36","Dragon","-259929095353","511"
"6_36_2","6","Dragon","36","Dragon","-2068974825444","314"
"6_36_4","6","Dragon","36","Dragon","-1749289175480","310"
"29_36_0","29","Dragon","36","Dragon","474415009343","316"
"29_36_1","29","Dragon","36","Dragon","343294622418","320"
"29_36_2","29","Dragon","36","Dragon","-1198964194627","568"
"29_36_4","29","Dragon","36","Dragon","-1035552981758","675"
"29_36_6","29","Dragon","36","Dragon","-41434377317","578"
"4_37_0","4","Dragon","37","Dragon","-1634757848191","602"
"4_37_2","4","Dragon","37","Dragon","-1455693925581","619"
"4_37_3","4","Dragon","37","Dragon","49048916003","533"
"4_37_5","4","Dragon","37","Dragon","458292174180","629"
"4_37_6","4","Dragon","37","Dragon","-777256671184","628"
"27_37_0","27","Dragon","37","Dragon","-1337599342297","570"
"27_37_1","27","Dragon","37","Dragon","286767901469","369"
"27_37_2","27","Dragon","37","Dragon","-1395536561356","215"
"27_37_3","27","Dragon","37","Dragon","-2203603708885","113"
"27_37_4","27","Dragon","37","Dragon","533188525858","203"
"11_37_1","11","Dragon","37","Dragon","-177891393052","664"
"11_37_2","11","Dragon","37","Dragon","-1369496252885","247"
"11_37_5","11","Dragon","37","Dragon","-1400557967243","314"
"27_38_1","27","Dragon","38","Dragon","-85262914788","576"
"27_38_2","27","Dragon","38","Dragon","-758488002020","689"
"27_38_3","27","Dragon","38","Dragon","43059842541","641"
"27_38_4","27","Dragon","38","Dragon","-1957556635619","404"
"27_38_5","27","Dragon","38","Dragon","-2023193271610","114"
"3_38_3","3","Dragon","38","Dragon","-730816064156","198"
"3_38_4","3","Dragon","38","Dragon","906666308621","344"
"3_38_5","3","Dragon","38","Dragon","-1466718745950","321"
"5_38_0","5","Dragon","38","Dragon","-152304952904","513"
"5_38_1","5","Dragon","38","Dragon","711484853660","610"
"5_38_3","5","Dragon","38","Dragon","-538546796090","294"
"5_38_5","5","Dragon","38","Dragon","605200967519","108"
"5_38_6","5","Dragon","38","Dragon","929143343244","681"
"15_39_0","15","Dragon","39","Dragon","-523759262007","401"
"15_39_1","15","Dragon","39","Dragon","-692648425686","390"
"15_39_2","15","Dragon","39","Dragon","-1580366976373","622"
"15_39_3","15","Dragon","39","Dragon","-1065852180127","414"
"15_39_4","15","Dragon","39","Dragon","-158611686109","547"
"15_39_5","15","Dragon","39","Dragon","-2033186732797","278"
"15_39_6","15","Dragon","39","Dragon","685529002557","165"
"15_39_7","15","Dragon","39","Dragon","-188205273733","155"
"1_39_0","1","Dragon","39","Dragon","-592487675984","242"
"1_39_1","1","Dragon","39","Dragon","278919293792","373"
"1_39_2","1","Dragon","39","Dragon","592393516472","394"
"30_39_0","30","Dragon","39","Dragon","-437599585697","670"
"30_39_1","30","Dragon","39","Dragon","-1195958640900","377"
"30_39_2","30","Dragon","39","Dragon","-1177532314351","301"
"30_39_3","30","Dragon","39","Dragon","598831612199","449"
"30_39_4","30","Dragon","39","Dragon","-1060577570180","190"
"30_39_6","30","Dragon","39","Dragon","768008237260","313"
"30_39_7","30","Dragon","39","Dragon","-746266836459","149"
"6_40_0","6","Dragon","40","Dragon","-1205799310203","444"
"6_40_1","6","Dragon","40","Dragon","803212399047","137"
"6_40_2","6","Dragon","40","Dragon","427269398396","662"
"6_40_3","6","Dragon","40","Dragon","-1878813909144","308"
"6_40_4","6","Dragon","40","Dragon","187390327836","319"
"6_40_5","6","Dragon","40","Dragon","-1613523906597","606"
"6_40_7","6","Dragon","40","Dragon","-782079162958","690"
"11_40_0","11","Dragon","40","Dragon","48958007084","401"
"11_40_1","11","Dragon","40","Dragon","-1899311191905","128"
"11_40_2","11","Dragon","40","Dragon","428327268859","682"
"11_40_3","11","Dragon","40","Dragon","521260023459","251"
"11_40_4","11","Dragon","40","Dragon","942664534699","379"
"11_40_5","11","Dragon","40","Dragon","-417151008618","486"
"2_40_0","2","Dragon","40","Dragon","-1910674732986","191"
"2_40_3","2","Dragon","40","Dragon","-930324582422","104"
