tconst	averageRating	numVotes
tt0000599	4.7	7
tt0000601	5.0	6
tt0000602	4.7	167
tt0000608	6.0	6
tt0000609	4.2	12
tt0000610	5.0	11
tt0000613	4.3	7
tt0000614	6.5	898
tt0000615	4.5	14
tt0000617	4.6	16
tt0000618	7.8	8
tt0000621	6.4	521
tt0000624	7.0	6
tt0000627	6.1	14
tt0000628	5.7	680
tt0000629	5.5	33
tt0000630	3.2	11
tt0000632	5.3	36
tt0000634	3.7	10
tt0000637	5.5	581
tt0000638	5.3	32
tt0000639	5.2	41
tt0000640	4.3	81
tt0000641	4.8	107
tt0000642	5.5	24
tt0000644	5.3	19
tt0000645	5.2	106
tt0000648	4.8	108
tt0000650	6.5	6
tt0000651	5.2	35
tt0000653	4.6	153
tt0000654	5.3	51
tt0000658	6.4	174
tt0000659	5.3	35
tt0000660	5.6	18
tt0000661	6.6	12
tt0000662	4.8	18
tt0000663	5.6	14
tt0000665	5.7	14
tt0000666	5.8	20
tt0000668	7.1	21
tt0000669	4.9	105
tt0000671	6.2	8
tt0000672	5.5	14
tt0000674	4.7	35
tt0000675	4.9	9
tt0000676	4.4	8
tt0000677	6.5	6
tt0000679	5.2	35
tt0000680	5.5	14
tt0000681	5.4	9
tt0000682	6.9	2182
tt0000683	5.6	42
tt0000684	5.1	77
tt0000685	5.8	14
tt0000689	6.5	17
tt0000690	6.4	13
tt0000694	5.3	18
tt0000695	5.8	21
tt0000697	5.1	9
tt0000698	5.4	8
tt0000699	5.9	9
tt0000700	5.3	46
tt0000704	5.4	21
tt0000706	5.1	12
tt0000707	5.4	8
tt0000708	4.7	11
tt0000709	5.7	32
tt0000711	4.7	7
tt0000713	6.0	6
tt0000715	6.2	5
tt0000717	5.6	9
tt0000720	6.4	9
tt0000722	5.4	7
tt0000724	5.2	32
tt0000727	6.1	10
tt0000728	5.9	94
tt0000730	5.7	39
tt0000731	4.4	13
tt0000733	6.2	13
tt0000734	4.2	6
tt0000736	5.1	7
tt0000737	5.5	20
tt0000738	8.0	12
tt0000739	6.3	7
tt0000740	5.5	8
tt0000741	5.0	9
tt0000743	6.8	6
tt0000746	7.2	10
tt0000747	4.9	10
tt0000748	5.9	15
tt0000749	5.7	653
tt0000750	7.0	7
tt0000752	5.4	93
tt0000754	7.2	40
tt0000755	5.7	161
tt0000756	5.4	86
tt0000758	6.3	18
tt0000759	7.9	9
tt0000760	6.2	5
tt0000762	6.0	7
tt0000764	5.7	104
tt0000765	5.6	7
tt0000767	6.0	9
tt0000769	5.3	123
tt0000770	5.4	103
tt0000771	5.8	13
tt0000772	6.1	9
tt0000775	7.2	8
tt0000776	5.8	69
tt0000778	6.5	6
tt0000779	5.7	6
tt0000781	6.6	10
tt0000782	7.3	15
tt0000784	6.6	7
tt0000785	5.2	33
tt0000787	5.7	9
tt0000789	4.9	35
tt0000790	6.2	285
tt0000792	4.8	17
tt0000793	5.0	7
tt0000797	5.3	94
tt0000798	4.5	11
tt0000800	5.4	48
tt0000801	5.4	16
tt0000807	5.0	13
tt0000809	6.3	23
tt0000815	5.0	12
tt0000816	4.7	71
tt0000817	3.9	10
tt0000819	5.5	14
tt0000821	4.7	67
tt0000823	4.8	14
tt0000825	4.8	12
tt0000826	4.8	11
tt0000827	5.3	34
tt0000828	5.3	59
tt0000829	4.7	13
tt0000831	5.2	85
tt0000832	6.6	2154
tt0000833	6.4	544
tt0000835	5.0	92
tt0000836	4.7	42
tt0000837	5.5	10
tt0000840	5.5	259
tt0000841	5.2	30
tt0000843	5.7	10
tt0000844	5.5	10
tt0000845	5.0	10
tt0000847	5.9	8
tt0000848	5.9	15
tt0000851	5.4	11
tt0000852	5.8	168
tt0000853	5.2	10
tt0000854	6.0	405
tt0000855	5.7	9
tt0000857	4.9	9
tt0000858	5.2	8
tt0000860	4.8	31
tt0000861	5.3	14
tt0000862	4.5	8
tt0000864	5.5	13
tt0000866	7.2	6
tt0000870	5.1	14
tt0000871	5.7	62
tt0000873	5.8	6
tt0000874	4.8	11
tt0000875	4.9	9
tt0000877	4.8	55
tt0000878	5.0	123
tt0000880	5.8	39
tt0000882	5.8	148
tt0000883	6.2	5
tt0000884	4.4	7
tt0000886	5.0	23
tt0000887	4.6	25
tt0000890	7.0	15
tt0000891	5.3	25
tt0000892	5.6	42
tt0000893	6.5	22
tt0000895	5.6	151
tt0000896	4.3	7
tt0000897	5.7	33
tt0000898	5.6	8
tt0000900	4.2	6
tt0000901	3.8	6
tt0000902	4.7	6
tt0000904	5.4	84
tt0000905	5.5	6
tt0000907	5.3	6
tt0000908	5.9	13
tt0000910	5.4	8
tt0000911	3.4	9
tt0000912	4.5	38
tt0000916	6.1	48
tt0000919	3.8	6
tt0000920	4.5	6
tt0000921	5.5	8
tt0000922	5.7	79
tt0000924	6.1	128
tt0000928	5.5	70
tt0000929	5.4	34
tt0000930	4.0	6
tt0000932	3.9	7
tt0000933	4.7	23
tt0000934	4.8	8
tt0000935	6.2	66
tt0000936	6.7	61
tt0000938	4.6	147
tt0000939	5.4	9
tt0000941	4.2	12
tt0000942	6.1	812
tt0000944	4.8	6
tt0000945	4.6	52
tt0000946	4.6	54
tt0000950	4.8	9
tt0000954	4.3	6
tt0000956	6.8	6
tt0000957	6.3	39
tt0000958	5.0	6
tt0000960	4.7	238
tt0000961	8.2	13
tt0000962	4.7	6
tt0000964	5.3	7
tt0000966	5.7	294
tt0000967	4.7	6
tt0000969	6.0	12
tt0000970	5.8	57
tt0000971	6.3	124
tt0000972	5.7	58
tt0000974	5.1	33
tt0000975	5.7	7
tt0000976	4.7	9
tt0000978	6.8	5
tt0000979	5.2	18
tt0000981	5.5	28
tt0000986	5.1	88
tt0000987	7.8	6
tt0000988	4.3	10
tt0000989	4.7	22
tt0000990	6.0	47
tt0000992	4.8	9
tt0000995	7.4	8
tt0000996	4.3	6
tt0000997	6.7	7
tt0000998	5.2	11
tt0000999	5.4	5
tt0001000	5.2	24
tt0001001	5.5	87
tt0001002	4.9	75
tt0001005	4.6	5
tt0001008	5.2	9
tt0001009	6.4	852
tt0001010	4.0	7
tt0001011	4.7	6
tt0001012	7.0	5
tt0001013	5.9	313
tt0001014	5.2	87
tt0001015	4.6	10
tt0001016	5.6	89
tt0001025	6.7	7
tt0001027	6.0	6
tt0001028	4.3	9
tt0001029	5.3	33
tt0001032	6.0	742
tt0001033	5.1	8
tt0001035	5.1	21
tt0001036	4.0	9
tt0001037	4.2	13
tt0001038	4.3	12
tt0001041	5.2	19
tt0001044	5.7	81
tt0001045	5.4	8
tt0001046	4.5	6
tt0001049	3.2	8
tt0001050	5.1	61
tt0001052	4.8	6
tt0001053	6.2	6
tt0001054	6.0	16
tt0001058	5.2	11
tt0001060	4.8	6
tt0001061	6.2	13
tt0001062	6.2	1065
tt0001063	5.8	6
tt0001064	4.7	17
tt0001065	4.8	6
tt0001066	4.3	7
tt0001067	5.6	13
tt0001071	6.5	6
tt0001072	5.5	232
tt0001074	6.0	11
tt0001075	4.7	6
tt0001076	5.5	11
tt0001077	5.2	5
tt0001078	5.4	26
tt0001079	3.9	8
tt0001083	5.0	100
tt0001084	5.1	139
tt0001085	5.7	6
tt0001086	6.3	6
tt0001088	5.2	50
tt0001089	8.3	19
tt0001090	7.0	6
tt0001091	5.5	161
tt0001092	5.7	24
tt0001094	4.3	6
tt0001095	3.3	6
tt0001098	5.9	9
tt0001099	5.2	6
tt0001101	5.2	13
tt0001103	5.6	12
tt0001104	5.0	12
tt0001105	6.4	775
tt0001106	6.1	81
tt0001107	6.2	34
tt0001111	4.4	9
tt0001112	3.6	19
tt0001113	5.6	7
tt0001115	4.7	10
tt0001116	4.9	9
tt0001117	5.5	8
tt0001118	5.5	135
tt0001120	5.7	160
tt0001121	4.6	13
tt0001122	5.3	7
tt0001124	5.6	5
tt0001129	5.0	16
tt0001135	4.6	21
tt0001139	4.2	9
tt0001143	4.5	13
tt0001144	4.6	11
tt0001145	5.0	6
tt0001150	5.4	67
tt0001151	4.7	14
tt0001152	4.6	14
tt0001153	4.5	11
tt0001156	4.3	9
tt0001159	5.6	7
tt0001161	4.5	10
tt0001165	4.4	7
tt0001175	5.8	22
tt0001176	4.2	8
tt0001184	3.4	11
tt0001185	7.0	14
tt0001186	5.5	47
tt0001187	4.4	8
tt0001190	6.6	8
tt0001195	4.0	6
tt0001200	4.5	14
tt0001202	4.6	7
tt0001206	6.0	10
tt0001207	5.7	89
tt0001211	5.5	30
tt0001216	4.6	8
tt0001217	5.8	50
tt0001218	5.2	82
tt0001223	6.4	3664
tt0001227	5.8	195
tt0001230	5.0	7
tt0001233	8.5	6
tt0001234	5.4	12
tt0001235	5.0	21
tt0001236	4.6	11
tt0001237	4.7	32
tt0001240	3.9	11
tt0001241	4.3	9
tt0001242	6.0	11
tt0001245	5.7	45
tt0001253	4.8	6
tt0001254	3.8	6
tt0001256	5.8	464
tt0001258	5.8	87
tt0001262	5.2	11
tt0001264	6.9	45
tt0001265	6.4	461
tt0001277	4.6	13
tt0001280	4.7	19
tt0001282	7.3	15
tt0001283	6.4	11
tt0001284	5.1	28
tt0001285	5.2	29
tt0001292	4.9	39
tt0001294	6.1	7
tt0001299	4.2	8
tt0001303	6.0	7
tt0001306	4.2	6
tt0001307	5.5	6
tt0001310	5.3	12
tt0001314	5.8	141
tt0001315	6.1	13
tt0001321	5.1	29
tt0001326	5.7	38
tt0001330	6.2	19
tt0001332	5.4	13
tt0001333	5.4	29
tt0001337	5.8	31
tt0001338	5.3	6
tt0001340	5.1	76
tt0001351	6.2	42
tt0001358	4.2	14
tt0001370	5.2	13
tt0001371	6.0	354
tt0001377	4.8	20
tt0001378	5.9	187
tt0001380	3.2	6
tt0001381	5.5	24
tt0001385	5.5	40
tt0001386	4.6	7
tt0001387	5.8	16
tt0001388	5.7	63
tt0001396	2.9	7
tt0001400	5.9	9
tt0001401	5.9	16
tt0001407	5.8	8
tt0001410	3.9	7
tt0001414	6.5	32
tt0001423	4.1	10
tt0001428	5.1	35
tt0001431	6.4	635
tt0001432	5.3	15
tt0001439	5.9	215
tt0001440	4.8	10
tt0001443	5.0	6
tt0001444	3.3	19
tt0001446	5.3	7
tt0001452	5.3	156
tt0001454	5.4	16
tt0001456	8.5	8
tt0001458	5.9	138
tt0001459	5.5	40
tt0001460	2.9	7
tt0001461	6.2	14
tt0001463	5.7	1365
tt0001469	5.9	77
tt0001475	7.5	13
tt0001481	5.8	10
tt0001482	5.1	27
tt0001488	6.3	397
tt0001490	4.7	13
tt0001496	4.2	37
tt0001497	6.5	6
tt0001498	7.7	6
tt0001499	5.6	266
tt0001500	5.7	6
tt0001508	5.0	13
tt0001510	5.4	28
tt0001517	5.6	14
tt0001518	5.7	7
tt0001519	5.3	21
tt0001527	7.7	2523
tt0001529	4.5	11
tt0001530	6.0	9
tt0001531	4.6	7
tt0001532	4.6	8
tt0001542	3.7	9
tt0001544	6.0	524
tt0001545	6.1	102
tt0001550	5.5	36
tt0001551	5.2	85
tt0001552	4.8	13
tt0001557	4.9	61
tt0001560	4.1	11
tt0001563	5.8	31
tt0001564	4.1	8
tt0001571	4.4	7
tt0001577	4.4	7
tt0001582	4.4	9
tt0001583	5.6	10
tt0001586	3.8	6
tt0001587	3.9	15
tt0001588	5.5	144
tt0001592	5.6	5
tt0001593	6.3	300
tt0001594	6.4	264
tt0001598	5.8	13
tt0001607	5.8	38
tt0001613	5.2	118
tt0001614	6.1	17
tt0001615	4.9	14
tt0001618	6.6	5
tt0001624	4.9	34
tt0001630	5.7	17
tt0001632	6.4	38
tt0001642	5.2	28
tt0001654	5.5	24
tt0001655	4.0	9
tt0001658	5.2	12
tt0001659	6.7	9
tt0001660	5.7	174
tt0001668	4.2	24
tt0001671	5.1	21
tt0001680	5.1	520
tt0001681	4.9	221
tt0001685	5.3	6
tt0001692	5.3	7
tt0001693	7.2	13
tt0001695	4.8	41
tt0001696	3.7	6
tt0001701	4.7	60
tt0001706	4.5	6
tt0001709	5.8	22
tt0001715	3.1	7
tt0001717	3.4	14
tt0001722	3.7	6
tt0001724	5.8	219
tt0001728	7.7	6
tt0001732	7.1	8
tt0001733	5.2	13
tt0001737	7.0	1517
tt0001738	7.3	22
tt0001740	6.5	1047
tt0001741	4.2	12
tt0001742	5.6	7
tt0001747	4.8	12
tt0001753	5.2	8
tt0001761	4.3	6
tt0001762	4.8	55
tt0001769	5.3	46
tt0001771	5.4	122
tt0001772	5.6	7
tt0001776	6.6	168
tt0001777	5.3	6
tt0001779	7.0	9
tt0001787	8.5	6
tt0001789	6.3	228
tt0001790	6.0	19
tt0001799	5.0	8
tt0001803	4.0	7
tt0001812	6.3	6
tt0001815	7.1	14
tt0001817	5.4	67
tt0001832	5.5	42
tt0001840	5.1	27
tt0001845	5.1	7
tt0001848	4.3	29
tt0001852	4.1	7
tt0001856	4.7	33
tt0001857	5.6	187
tt0001862	5.4	30
tt0001865	6.0	42
tt0001868	5.4	8
tt0001871	4.7	38
tt0001872	7.3	21
tt0001874	7.7	7
tt0001877	5.2	53
tt0001889	4.0	8
tt0001892	5.8	190
tt0001896	5.2	51
tt0001910	5.5	51
tt0001911	5.0	7
tt0001913	5.5	187
tt0001915	5.8	88
tt0001923	7.2	16
tt0001924	4.7	6
tt0001925	5.1	24
tt0001926	4.5	6
tt0001927	4.3	6
tt0001928	4.6	39
tt0001941	5.1	65
tt0001949	5.6	17
tt0001956	6.1	7
tt0001957	4.9	44
tt0001963	5.4	120
tt0001964	6.1	58
tt0001967	5.9	8
tt0001969	4.7	6
tt0001973	6.1	239
tt0001978	5.5	13
tt0001987	6.2	12
tt0001989	4.3	6
tt0001993	3.7	11
tt0001998	4.3	17
tt0002020	4.8	100
tt0002026	4.0	6
tt0002029	6.0	39
tt0002031	4.8	9
tt0002033	5.6	29
tt0002034	5.2	28
tt0002041	3.9	14
tt0002045	4.2	72
tt0002054	5.7	130
tt0002056	6.8	123
tt0002064	4.8	34
tt0002065	6.1	32
tt0002066	3.8	54
tt0002068	5.1	14
tt0002070	4.9	25
tt0002071	4.3	7
tt0002078	5.2	26
tt0002082	6.2	324
tt0002083	6.0	217
tt0002093	4.6	11
tt0002095	4.9	11
tt0002096	3.5	6
tt0002097	4.2	11
tt0002098	5.7	118
tt0002101	5.1	454
tt0002107	5.0	12
tt0002113	6.9	834
tt0002114	3.9	8
tt0002121	4.9	15
tt0002122	6.1	254
tt0002124	5.1	318
tt0002126	6.4	53
tt0002130	7.1	2302
tt0002132	5.7	7
tt0002133	5.7	158
tt0002136	5.7	68
tt0002139	5.5	8
tt0002143	5.9	541
tt0002144	5.2	12
tt0002145	8.7	7
tt0002151	5.0	21
tt0002153	5.7	45
tt0002159	4.1	23
tt0002160	6.5	75
tt0002162	4.4	41
tt0002167	5.0	10
tt0002172	4.8	11
tt0002176	5.9	245
tt0002177	5.7	23
tt0002179	3.9	21
tt0002181	6.2	147
tt0002186	6.2	92
tt0002190	6.1	334
tt0002196	4.3	9
tt0002197	5.6	225
tt0002198	6.3	19
tt0002199	5.7	492
tt0002200	6.2	74
tt0002202	4.7	11
tt0002203	5.0	38
tt0002206	5.6	12
tt0002208	6.7	1096
tt0002212	5.2	13
tt0002214	5.8	20
tt0002216	5.6	16
tt0002220	4.0	12
tt0002221	6.7	347
tt0002224	5.1	120
tt0002226	5.7	43
tt0002230	6.4	77
tt0002232	5.4	39
tt0002233	4.6	113
tt0002234	8.4	14
tt0002253	3.7	6
tt0002255	4.5	31
tt0002259	4.9	7
tt0002260	6.3	1075
tt0002261	5.7	15
tt0002266	6.3	6
tt0002268	5.1	7
tt0002273	4.9	14
tt0002277	6.3	20
tt0002278	4.9	14
tt0002280	4.8	28
tt0002281	6.1	260
tt0002282	5.4	23
tt0002287	3.8	6
tt0002290	5.4	41
tt0002293	3.6	7
tt0002295	7.5	6
tt0002300	6.1	9
tt0002302	5.9	31
tt0002303	5.7	155
tt0002305	7.4	16
tt0002309	8.9	11
tt0002318	5.5	15
tt0002320	3.6	7
tt0002329	5.2	20
tt0002332	4.9	15
tt0002340	5.8	41
tt0002342	5.9	67
tt0002349	5.2	12
tt0002350	6.4	273
tt0002354	6.2	130
tt0002355	5.9	49
tt0002357	6.2	185
tt0002369	6.0	37
tt0002370	5.9	7
tt0002371	6.1	11
tt0002374	6.2	8
tt0002380	5.0	8
tt0002381	6.6	1999
tt0002386	5.8	129
tt0002387	4.8	27
tt0002391	6.4	781
tt0002392	5.5	6
tt0002394	7.8	5
tt0002398	5.5	32
tt0002399	3.8	13
tt0002400	5.6	210
tt0002402	7.7	6
tt0002405	5.2	17
tt0002406	5.5	10
tt0002408	6.3	273
tt0002409	6.1	9
tt0002415	5.9	522
tt0002421	6.0	96
tt0002423	6.8	763
tt0002429	6.3	150
tt0002434	9.2	6
tt0002437	9.0	7
tt0002440	3.8	14
tt0002441	5.6	14
tt0002443	4.3	7
tt0002445	6.2	277
tt0002449	6.4	47
tt0002451	8.5	11
tt0002452	6.6	202
tt0002461	5.5	223
tt0002465	5.7	25
tt0002473	6.6	65
tt0002475	7.0	80
tt0002477	5.4	10
tt0002478	5.4	36
tt0002484	5.5	47
tt0002497	6.3	80
tt0002500	5.4	5
tt0002501	4.3	25
tt0002504	5.0	38
tt0002505	4.4	9
tt0002506	5.7	16
tt0002512	6.2	339
tt0002514	4.2	9
tt0002515	4.8	12
tt0002521	5.2	21
tt0002523	5.7	73
tt0002528	4.8	39
tt0002529	4.3	6
tt0002531	6.0	6
tt0002532	5.9	72
tt0002533	5.2	56
tt0002535	4.7	31
tt0002536	5.5	36
tt0002538	4.7	7
tt0002542	5.7	10
tt0002544	6.0	161
tt0002545	7.4	7
tt0002546	7.3	15
tt0002547	5.8	5
tt0002550	5.1	28
tt0002553	6.6	769
tt0002555	4.8	22
tt0002556	6.0	17
tt0002562	4.9	12
tt0002569	5.3	197
tt0002574	6.1	11
tt0002576	4.5	34
tt0002582	8.9	11
tt0002586	5.1	10
tt0002588	6.0	23
tt0002592	7.1	14
tt0002593	6.0	5
tt0002601	4.8	30
tt0002603	5.1	15
tt0002605	5.4	24
tt0002606	5.4	5
tt0002610	4.8	109
tt0002621	5.3	63
tt0002628	5.7	67
tt0002637	7.2	5
tt0002639	6.1	142
tt0002646	6.6	338
tt0002656	5.5	22
tt0002658	3.7	38
tt0002659	5.4	709
tt0002663	6.0	332
tt0002669	6.6	20
tt0002677	4.5	6
tt0002678	5.9	10
tt0002687	7.8	10
tt0002702	4.7	18
tt0002718	3.8	11
tt0002719	5.5	75
