"id","entityA.id","entityA.type","entityB.id","entityB.type","from","to"
"11_14_1","11","Dragon","14","Dragon","911902323838","911906763838","332"
"11_14_4","11","Dragon","14","Dragon","-2055119366869","-2055116606869","469"
"11_14_5","11","Dragon","14","Dragon","-1185195009114","-1185190809114","498"
"14_15_2","14","Dragon","15","Dragon","799732673174","799738493174","663"
"9_15_2","9","Dragon","15","Dragon","-338760897104","-338755437104","434"
"9_15_3","9","Dragon","15","Dragon","-1867110835373","-1867108975373","130"
"5_15_4","5","Dragon","15","Dragon","695282851110","695285371110","397"
"9_16_0","9","Dragon","16","Dragon","420145247055","420145607055","105"
"9_16_4","9","Dragon","16","Dragon","690381821180","690385001180","257"
"12_16_0","12","Dragon","16","Dragon","-419430186897","-419424486897","464"
"12_16_3","12","Dragon","16","Dragon","529664441027","529670081027","564"
"5_16_1","5","Dragon","16","Dragon","337936371179","337937991179","332"
"5_16_2","5","Dragon","16","Dragon","-1196254300944","-1196251180944","577"
"5_16_5","5","Dragon","16","Dragon","904223192597","904227152597","633"
"10_17_3","10","Dragon","17","Dragon","69164209656","69166429656","216"
"10_17_6","10","Dragon","17","Dragon","414214390237","414216730237","581"
"12_17_2","12","Dragon","17","Dragon","-1199264138632","-1199262338632","285"
"5_17_0","5","Dragon","17","Dragon","-999926165553","-999921845553","585"
"5_17_3","5","Dragon","17","Dragon","-963433132738","-963432712738","238"
"5_17_4","5","Dragon","17","Dragon","-1684466419573","-1684462819573","237"
"5_17_7","5","Dragon","17","Dragon","-1281849016746","-1281847396746","474"
"0_18_3","0","Dragon","18","Dragon","-880226285657","-880225265657","514"
"0_18_4","0","Dragon","18","Dragon","-1371419463516","-1371419343516","691"
"9_18_2","9","Dragon","18","Dragon","-1373347815236","-1373344875236","199"
"10_18_1","10","Dragon","18","Dragon","-2063589395381","-2063585135381","383"
"6_19_2","6","Dragon","19","Dragon","255673775155","255675635155","525"
"6_19_4","6","Dragon","19","Dragon","-790729764698","-790729284698","313"
"4_19_1","4","Dragon","19","Dragon","750229211376","750232991376","476"
"6_20_0","6","Dragon","20","Dragon","646815470248","646819430248","192"
"4_20_1","4","Dragon","20","Dragon","-130220357532","-130217057532","613"
"4_20_3","4","Dragon","20","Dragon","-897927895061","-897927655061","257"
"10_20_4","10","Dragon","20","Dragon","266272927816","266273827816","254"
"9_21_0","9","Dragon","21","Dragon","-115767095417","-115763135417","239"
"9_21_2","9","Dragon","21","Dragon","-796144454226","-796138574226","666"
"9_21_6","9","Dragon","21","Dragon","241149116161","241150016161","365"
"14_21_0","14","Dragon","21","Dragon","-203940710251","-203939450251","163"
"14_21_3","14","Dragon","21","Dragon","432181823644","432185243644","202"
"4_21_2","4","Dragon","21","Dragon","-621503085431","-621502305431","487"
"4_21_3","4","Dragon","21","Dragon","830252270872","830258210872","690"
"4_22_0","4","Dragon","22","Dragon","5612648519","5612888519","474"
"5_23_0","5","Dragon","23","Dragon","141529760012","141530000012","296"
"5_23_2","5","Dragon","23","Dragon","351599727580","351605667580","287"
"7_24_1","7","Dragon","24","Dragon","-1672789230922","-1672786470922","421"
"7_24_2","7","Dragon","24","Dragon","-1262185124018","-1262180084018","576"
"7_24_3","7","Dragon","24","Dragon","-1376711920447","-1376709280447","344"
"7_24_4","7","Dragon","24","Dragon","656749545520","656750565520","637"
"8_24_1","8","Dragon","24","Dragon","130978543459","130984543459","389"
"10_24_0","10","Dragon","24","Dragon","-1479314310910","-1479314250910","426"
"10_24_6","10","Dragon","24","Dragon","845771376786","845774196786","473"
"1_25_2","1","Dragon","25","Dragon","-1421808655684","-1421802895684","571"
"1_25_3","1","Dragon","25","Dragon","453772649712","453773009712","524"
"5_25_6","5","Dragon","25","Dragon","161438672351","161441492351","585"
"5_25_7","5","Dragon","25","Dragon","-1848482787991","-1848481047991","184"
"10_25_2","10","Dragon","25","Dragon","743542829733","743543189733","317"
"10_25_3","10","Dragon","25","Dragon","-716920467039","-716918547039","678"
"10_25_5","10","Dragon","25","Dragon","-1607086558607","-1607083978607","346"
"24_26_2","24","Dragon","26","Dragon","-383887146749","-383883126749","137"
"24_26_4","24","Dragon","26","Dragon","443366287382","443372227382","595"
"9_26_0","9","Dragon","26","Dragon","-893115687338","-893110827338","171"
"13_26_0","13","Dragon","26","Dragon","-1855533785664","-1855529105664","583"
"12_27_4","12","Dragon","27","Dragon","-445556667897","-445553007897","603"
"11_27_2","11","Dragon","27","Dragon","874711903184","874714483184","256"
"2_27_1","2","Dragon","27","Dragon","-1403716721637","-1403714321637","649"
"2_27_3","2","Dragon","27","Dragon","-135327754427","-135325774427","489"
"2_27_4","2","Dragon","27","Dragon","-1727845416297","-1727843616297","140"
"16_28_0","16","Dragon","28","Dragon","-1136571875310","-1136571095310","159"
"12_28_2","12","Dragon","28","Dragon","-975275661473","-975272961473","305"
"5_28_1","5","Dragon","28","Dragon","360623217641","360627297641","462"
"5_28_2","5","Dragon","28","Dragon","-1870418221624","-1870415941624","226"
"24_29_1","24","Dragon","29","Dragon","-508896336845","-508896276845","677"
"24_29_3","24","Dragon","29","Dragon","-748973636520","-748973096520","152"
"10_29_2","10","Dragon","29","Dragon","-685607296413","-685607056413","290"
"10_29_5","10","Dragon","29","Dragon","563511606191","563515926191","331"
"5_30_0","5","Dragon","30","Dragon","836032719944","836037579944","469"
"5_30_2","5","Dragon","30","Dragon","-1868177852521","-1868177312521","507"
"7_31_0","7","Dragon","31","Dragon","-810097897352","-810095437352","650"
"7_31_5","7","Dragon","31","Dragon","197525393773","197529833773","160"
"11_31_1","11","Dragon","31","Dragon","-140309347411","-140304667411","458"
"11_31_3","11","Dragon","31","Dragon","-1351045945113","-1351045585113","604"
"11_31_4","11","Dragon","31","Dragon","-2127990820201","-2127986680201","373"
"16_31_0","16","Dragon","31","Dragon","359658174274","359659734274","273"
"16_31_1","16","Dragon","31","Dragon","-1944266117978","-1944265937978","433"
"16_31_3","16","Dragon","31","Dragon","606649423651","606650443651","340"
"10_32_3","10","Dragon","32","Dragon","674726131413","674728591413","373"
"9_33_0","9","Dragon","33","Dragon","-235932228277","-235926348277","522"
"9_33_5","9","Dragon","33","Dragon","-342730130488","-342725930488","197"
"9_33_6","9","Dragon","33","Dragon","-1539502741905","-1539500101905","342"
"4_33_6","4","Dragon","33","Dragon","-2129984165037","-2129980325037","605"
"4_33_7","4","Dragon","33","Dragon","-1628378827462","-1628376427462","338"
"2_33_4","2","Dragon","33","Dragon","-330427537275","-330424237275","415"
"8_34_1","8","Dragon","34","Dragon","826164193895","826169713895","613"
"19_34_0","19","Dragon","34","Dragon","-1058891945716","-1058889845716","614"
"19_34_1","19","Dragon","34","Dragon","-13338263860","-13335383860","468"
"7_34_0","7","Dragon","34","Dragon","-1322403181894","-1322401261894","624"
"6_35_0","6","Dragon","35","Dragon","-1726239653736","-1726238153736","541"
"6_35_2","6","Dragon","35","Dragon","653900396412","653905676412","443"
"10_35_2","10","Dragon","35","Dragon","878216609947","878221769947","273"
"10_35_3","10","Dragon","35","Dragon","-682555130135","-682551590135","319"
"10_35_4","10","Dragon","35","Dragon","-2051760790984","-2051755570984","355"
"10_35_5","10","Dragon","35","Dragon","-60218013454","-60217833454","369"
"18_35_1","18","Dragon","35","Dragon","-2146813086294","-2146810806294","376"
"18_35_2","18","Dragon","35","Dragon","-1649617322009","-1649614082009","467"
"6_36_3","6","Dragon","36","Dragon","819927863901","819933743901","491"
"29_36_3","29","Dragon","36","Dragon","468403880415","468408920415","575"
"29_36_5","29","Dragon","36","Dragon","-1491775337450","-1491770777450","693"
"29_36_7","29","Dragon","36","Dragon","-563052192248","-563050992248","686"
"4_37_1","4","Dragon","37","Dragon","428107367761","428113307761","334"
"4_37_4","4","Dragon","37","Dragon","822455628868","822456348868","217"
"27_37_5","27","Dragon","37","Dragon","274524989047","274529969047","670"
"11_37_0","11","Dragon","37","Dragon","733713251077","733716851077","164"
"11_37_3","11","Dragon","37","Dragon","-1777224282176","-1777223442176","343"
"11_37_4","11","Dragon","37","Dragon","-1806572442349","-1806566502349","517"
"11_37_6","11","Dragon","37","Dragon","-538365289927","-538364269927","390"
"27_38_0","27","Dragon","38","Dragon","-869779961674","-869775101674","684"
"27_38_6","27","Dragon","38","Dragon","690226329985","690230829985","277"
"3_38_0","3","Dragon","38","Dragon","-1631579246239","-1631574686239","313"
"3_38_1","3","Dragon","38","Dragon","206180514922","206182134922","450"
"3_38_2","3","Dragon","38","Dragon","-577157867999","-577155887999","125"
"5_38_2","5","Dragon","38","Dragon","-119799661750","-119796961750","362"
"5_38_4","5","Dragon","38","Dragon","-646650718856","-646649218856","415"
"30_39_5","30","Dragon","39","Dragon","-1019872800863","-1019872500863","142"
"6_40_6","6","Dragon","40","Dragon","-1094087914317","-1094084614317","535"
"2_40_1","2","Dragon","40","Dragon","-1809925376868","-1809924116868","545"
"2_40_2","2","Dragon","40","Dragon","-2099420397959","-2099416017959","574"
"27_41_0","27","Dragon","41","Dragon","-1061187768803","-1061183268803","299"
"27_41_2","27","Dragon","41","Dragon","736946644199","736949764199","610"
"36_41_3","36","Dragon","41","Dragon","-2204565599175","-2204563919175","505"
"36_41_4","36","Dragon","41","Dragon","-1028105918624","-1028103098624","468"
"13_41_2","13","Dragon","41","Dragon","-2091693854652","-2091692414652","456"
"13_41_5","13","Dragon","41","Dragon","-2128706915921","-2128703195921","423"
"11_42_0","11","Dragon","42","Dragon","-819440834002","-819436094002","672"
"11_42_2","11","Dragon","42","Dragon","-354479814437","-354477774437","620"
"19_42_5","19","Dragon","42","Dragon","-2118870700998","-2118870040998","584"
"31_42_0","31","Dragon","42","Dragon","-1316633030417","-1316632130417","575"
"21_43_2","21","Dragon","43","Dragon","-1576429814335","-1576424354335","586"
"36_43_0","36","Dragon","43","Dragon","-671916434573","-671913974573","537"
"36_43_4","36","Dragon","43","Dragon","401371995480","401375055480","324"
"36_43_5","36","Dragon","43","Dragon","-1347699422917","-1347695522917","577"
"28_44_2","28","Dragon","44","Dragon","116917318110","116917738110","280"
"2_44_0","2","Dragon","44","Dragon","811637729291","811640729291","488"
"2_44_1","2","Dragon","44","Dragon","-1972092616760","-1972090576760","168"
"2_44_2","2","Dragon","44","Dragon","-1810964817862","-1810961157862","480"
"2_44_4","2","Dragon","44","Dragon","-2147564571195","-2147558811195","189"
"15_45_0","15","Dragon","45","Dragon","-342900151075","-342898051075","372"
"15_45_2","15","Dragon","45","Dragon","-1154952494743","-1154949074743","393"
"12_45_3","12","Dragon","45","Dragon","-578080738121","-578077258121","580"
"12_45_5","12","Dragon","45","Dragon","-1813349826620","-1813346046620","620"
"37_46_0","37","Dragon","46","Dragon","-1677223001755","-1677221261755","587"
"37_46_1","37","Dragon","46","Dragon","-1173409367175","-1173405047175","480"
"8_47_0","8","Dragon","47","Dragon","163728937190","163729237190","129"
"8_47_6","8","Dragon","47","Dragon","873483700012","873487540012","562"
"19_48_0","19","Dragon","48","Dragon","-81597994203","-81596014203","205"
"19_48_2","19","Dragon","48","Dragon","-1913865313211","-1913861473211","589"
"19_48_4","19","Dragon","48","Dragon","131689893339","131695053339","395"
"10_48_2","10","Dragon","48","Dragon","-134255898522","-134252478522","644"
"10_48_4","10","Dragon","48","Dragon","629471823034","629477283034","168"
"10_48_6","10","Dragon","48","Dragon","415815149807","415817909807","585"
"37_49_2","37","Dragon","49","Dragon","-1344536485362","-1344530605362","679"
"37_49_6","37","Dragon","49","Dragon","-1379777631635","-1379772171635","489"
"28_49_0","28","Dragon","49","Dragon","-852803795192","-852802295192","218"
"28_49_2","28","Dragon","49","Dragon","271352706634","271353726634","199"
"28_49_4","28","Dragon","49","Dragon","853207372166","853212532166","157"
"10_49_0","10","Dragon","49","Dragon","373572960288","373575840288","350"
"10_49_3","10","Dragon","49","Dragon","-2043603808487","-2043603448487","490"
"10_49_4","10","Dragon","49","Dragon","568887644492","568889264492","119"
"10_49_5","10","Dragon","49","Dragon","-159106046897","-159101486897","493"
"43_50_2","43","Dragon","50","Dragon","-983162166736","-983160846736","414"
"2_50_3","2","Dragon","50","Dragon","-1501045450305","-1501042150305","179"
"41_51_0","41","Dragon","51","Dragon","636683976299","636685716299","519"
"41_51_2","41","Dragon","51","Dragon","865638176984","865640156984","467"
"41_51_3","41","Dragon","51","Dragon","94059392916","94065092916","475"
"36_51_3","36","Dragon","51","Dragon","-640823970394","-640819770394","255"
"36_51_4","36","Dragon","51","Dragon","-1988970211187","-1988969911187","536"
"40_52_4","40","Dragon","52","Dragon","-1740695038545","-1740693838545","233"
"1_52_0","1","Dragon","52","Dragon","302927247094","302928747094","449"
"21_52_2","21","Dragon","52","Dragon","522877377051","522882957051","150"
"21_52_3","21","Dragon","52","Dragon","515205106915","515208826915","244"
"21_52_4","21","Dragon","52","Dragon","-1432978598416","-1432978118416","607"
"16_53_0","16","Dragon","53","Dragon","-474538999758","-474533299758","624"
"16_53_4","16","Dragon","53","Dragon","-2007220344162","-2007215124162","433"
"10_53_0","10","Dragon","53","Dragon","-1632687953250","-1632682313250","180"
"10_53_2","10","Dragon","53","Dragon","63845640962","63848280962","397"
"10_53_4","10","Dragon","53","Dragon","-1650694995452","-1650692715452","508"
"51_54_0","51","Dragon","54","Dragon","-1146156375020","-1146151335020","159"
"51_54_2","51","Dragon","54","Dragon","-586942146712","-586939566712","186"
"47_54_0","47","Dragon","54","Dragon","-36916218261","-36913038261","190"
"47_54_2","47","Dragon","54","Dragon","227481414906","227482554906","257"
"47_54_4","47","Dragon","54","Dragon","172502971174","172503511174","280"
"0_55_4","0","Dragon","55","Dragon","-2042723912010","-2042718752010","629"
"47_55_1","47","Dragon","55","Dragon","-780445530695","-780442110695","511"
"11_56_0","11","Dragon","56","Dragon","551266821021","551268621021","246"
"11_56_2","11","Dragon","56","Dragon","-483747586384","-483744826384","226"
"11_56_5","11","Dragon","56","Dragon","-1496104738981","-1496099338981","483"
"23_56_0","23","Dragon","56","Dragon","-1482423907838","-1482421447838","405"
"9_57_4","9","Dragon","57","Dragon","803023539665","803029479665","227"
"0_58_1","0","Dragon","58","Dragon","-879897113650","-879893513650","463"
"12_58_0","12","Dragon","58","Dragon","857506179955","857511099955","472"
"12_58_1","12","Dragon","58","Dragon","-994208250749","-994205550749","108"
"12_58_2","12","Dragon","58","Dragon","-1300706656639","-1300704616639","280"
"12_58_3","12","Dragon","58","Dragon","-1258565556249","-1258564236249","282"
"12_58_5","12","Dragon","58","Dragon","589596894674","589597974674","461"
"44_58_0","44","Dragon","58","Dragon","836786205923","836789265923","659"
"44_58_1","44","Dragon","58","Dragon","885020276135","885023156135","313"
"44_58_3","44","Dragon","58","Dragon","-597105579812","-597105399812","285"
"44_58_4","44","Dragon","58","Dragon","-1893450843768","-1893447123768","694"
"32_59_2","32","Dragon","59","Dragon","-1941372326787","-1941371486787","522"
"32_59_7","32","Dragon","59","Dragon","-1426721949669","-1426716969669","587"
"40_59_3","40","Dragon","59","Dragon","706541984149","706542344149","296"
"40_59_4","40","Dragon","59","Dragon","-1520221403921","-1520220323921","501"
"13_59_0","13","Dragon","59","Dragon","-681095757638","-681094437638","306"
"13_59_2","13","Dragon","59","Dragon","547263819487","547267419487","251"
"14_60_2","14","Dragon","60","Dragon","-1997616998114","-1997611058114","184"
"14_60_3","14","Dragon","60","Dragon","-228756947122","-228753407122","454"
"19_60_3","19","Dragon","60","Dragon","44471107947","44476807947","357"
"19_60_6","19","Dragon","60","Dragon","367755397882","367759057882","461"
"10_60_0","10","Dragon","60","Dragon","-1703791938175","-1703787138175","470"
"10_60_3","10","Dragon","60","Dragon","-1258280903226","-1258278683226","344"
"10_60_6","10","Dragon","60","Dragon","598308329844","598309589844","398"
"47_61_3","47","Dragon","61","Dragon","-246005167147","-246003007147","100"
"47_61_5","47","Dragon","61","Dragon","-1606142363474","-1606141343474","112"
"55_61_1","55","Dragon","61","Dragon","11535687640","11539347640","364"
"55_61_2","55","Dragon","61","Dragon","-1477596983643","-1477592303643","338"
"58_62_2","58","Dragon","62","Dragon","-496245273411","-496242633411","303"
"58_62_3","58","Dragon","62","Dragon","228187423089","228189943089","390"
"58_62_4","58","Dragon","62","Dragon","80702953736","80703313736","596"
"58_62_6","58","Dragon","62","Dragon","550439917402","550443697402","208"
"56_62_3","56","Dragon","62","Dragon","-628360449655","-628358649655","625"
"56_62_4","56","Dragon","62","Dragon","431823425520","431828645520","289"
"54_62_1","54","Dragon","62","Dragon","706081199099","706083659099","267"
"2_63_4","2","Dragon","63","Dragon","941972719449","941977879449","585"
"13_63_2","13","Dragon","63","Dragon","339665586769","339670686769","316"
"13_63_4","13","Dragon","63","Dragon","-2167776215923","-2167775435923","302"
"13_63_5","13","Dragon","63","Dragon","879296957563","879298577563","451"
"14_64_2","14","Dragon","64","Dragon","-1393165160918","-1393160060918","268"
"14_64_5","14","Dragon","64","Dragon","38007506085","38007926085","372"
"10_64_3","10","Dragon","64","Dragon","226584496804","226589776804","511"
"55_64_2","55","Dragon","64","Dragon","724541826429","724543866429","136"
"41_65_0","41","Dragon","65","Dragon","-37176877467","-37171717467","273"
"41_65_2","41","Dragon","65","Dragon","-1002715059335","-1002712899335","198"
"41_65_4","41","Dragon","65","Dragon","-386701621508","-386699761508","340"
"41_65_6","41","Dragon","65","Dragon","-182266523541","-182263463541","436"
"62_65_1","62","Dragon","65","Dragon","-1517336866201","-1517334526201","172"
"44_65_0","44","Dragon","65","Dragon","83846441923","83848241923","391"
"44_65_1","44","Dragon","65","Dragon","577180426368","577184266368","115"
"3_66_2","3","Dragon","66","Dragon","-154967261533","-154961621533","192"
"3_66_4","3","Dragon","66","Dragon","-26353471087","-26353411087","392"
"36_66_0","36","Dragon","66","Dragon","-1993576553232","-1993575353232","319"
"36_66_3","36","Dragon","66","Dragon","87631821006","87634161006","671"
"36_66_4","36","Dragon","66","Dragon","-2136701447579","-2136700427579","473"
"36_66_5","36","Dragon","66","Dragon","-1361254506403","-1361251506403","598"
"53_66_1","53","Dragon","66","Dragon","560651274282","560656194282","183"
"16_67_0","16","Dragon","67","Dragon","-158106615021","-158105175021","491"
"16_67_1","16","Dragon","67","Dragon","-1406054399791","-1406049239791","474"
"16_67_4","16","Dragon","67","Dragon","-350565881072","-350562941072","191"
"14_67_0","14","Dragon","67","Dragon","629609330514","629612750514","300"
"14_67_1","14","Dragon","67","Dragon","423720186632","423721266632","134"
"12_67_0","12","Dragon","67","Dragon","-1721667842282","-1721662322282","336"
"12_67_3","12","Dragon","67","Dragon","447368501912","447369341912","245"
"12_67_4","12","Dragon","67","Dragon","-647354444110","-647348684110","439"
"12_67_7","12","Dragon","67","Dragon","846321741906","846323421906","291"
"51_68_3","51","Dragon","68","Dragon","-954647948356","-954646088356","232"
"37_68_0","37","Dragon","68","Dragon","437830250092","437834690092","102"
"37_68_1","37","Dragon","68","Dragon","-1876136079203","-1876133799203","453"
"3_69_2","3","Dragon","69","Dragon","151794226986","151799686986","230"
"3_69_7","3","Dragon","69","Dragon","-271853442029","-271848162029","631"
"2_69_0","2","Dragon","69","Dragon","-796961461862","-796959121862","182"
"42_70_6","42","Dragon","70","Dragon","-1287006263863","-1287003383863","515"
"1_70_2","1","Dragon","70","Dragon","-2122324699126","-2122319659126","238"
"1_70_4","1","Dragon","70","Dragon","-1527713734049","-1527713314049","524"
"1_70_6","1","Dragon","70","Dragon","-405521523493","-405519243493","661"
"26_70_0","26","Dragon","70","Dragon","-223306629827","-223301409827","687"
"9_71_4","9","Dragon","71","Dragon","52574178169","52576518169","420"
"48_71_4","48","Dragon","71","Dragon","-1174384037206","-1174381997206","624"
"10_71_1","10","Dragon","71","Dragon","-1108351611051","-1108345671051","640"
"10_71_3","10","Dragon","71","Dragon","131893958200","131899238200","401"
"0_72_6","0","Dragon","72","Dragon","-1423269356965","-1423267916965","392"
"19_72_5","19","Dragon","72","Dragon","-791172721977","-791172601977","319"
"44_72_2","44","Dragon","72","Dragon","-1342283416252","-1342279516252","482"
"30_73_0","30","Dragon","73","Dragon","-1281834636208","-1281831216208","589"
"30_73_2","30","Dragon","73","Dragon","-1791448018798","-1791442378798","545"
"30_73_4","30","Dragon","73","Dragon","-827816512844","-827814772844","574"
"69_73_2","69","Dragon","73","Dragon","-473108018590","-473102378590","198"
"69_73_3","69","Dragon","73","Dragon","26298458404","26301878404","405"
"69_73_4","69","Dragon","73","Dragon","228798871468","228800551468","239"
"69_73_7","69","Dragon","73","Dragon","-1151997838747","-1151994538747","644"
"13_73_2","13","Dragon","73","Dragon","594491225075","594494825075","189"
"12_74_0","12","Dragon","74","Dragon","-860347570647","-860346070647","361"
"12_74_2","12","Dragon","74","Dragon","-247552900486","-247548280486","552"
"10_74_0","10","Dragon","74","Dragon","65733628399","65739508399","480"
"10_74_1","10","Dragon","74","Dragon","555210917971","555211817971","657"
"10_74_3","10","Dragon","74","Dragon","703647515987","703653095987","226"
"10_74_5","10","Dragon","74","Dragon","823400757635","823402617635","135"
"47_75_1","47","Dragon","75","Dragon","-82183361185","-82180901185","619"
"47_75_2","47","Dragon","75","Dragon","138469299211","138469359211","191"
"53_75_2","53","Dragon","75","Dragon","-1347401656976","-1347400096976","390"
"53_75_4","53","Dragon","75","Dragon","-1435613566009","-1435610026009","156"
"10_75_2","10","Dragon","75","Dragon","-542273363253","-542271023253","633"
"20_76_1","20","Dragon","76","Dragon","83439238756","83442058756","665"
"20_76_3","20","Dragon","76","Dragon","-192201666439","-192196086439","260"
"18_76_0","18","Dragon","76","Dragon","-441672976770","-441667456770","125"
"18_76_1","18","Dragon","76","Dragon","-1776574400583","-1776568400583","574"
"18_76_3","18","Dragon","76","Dragon","-1014560973352","-1014556053352","501"
"6_77_0","6","Dragon","77","Dragon","-1371384882600","-1371380382600","584"
"6_77_1","6","Dragon","77","Dragon","-1879313517099","-1879308177099","605"
"6_77_3","6","Dragon","77","Dragon","33918799097","33919999097","491"
"6_77_4","6","Dragon","77","Dragon","-619876408219","-619875988219","541"
"12_77_3","12","Dragon","77","Dragon","506386037169","506388317169","685"
"68_77_1","68","Dragon","77","Dragon","-1505716066548","-1505711806548","488"
"40_78_2","40","Dragon","78","Dragon","342024775365","342028375365","338"
"51_78_0","51","Dragon","78","Dragon","-1647589262882","-1647586982882","198"
"51_78_3","51","Dragon","78","Dragon","-126442162299","-126440722299","310"
"51_78_7","51","Dragon","78","Dragon","-2182115495080","-2182113575080","387"
"47_78_2","47","Dragon","78","Dragon","-1794843691419","-1794843151419","480"
"47_78_3","47","Dragon","78","Dragon","432632439263","432634239263","191"
"47_78_4","47","Dragon","78","Dragon","-1472751764177","-1472746904177","113"
"1_79_1","1","Dragon","79","Dragon","-394789821428","-394784601428","138"
"54_79_0","54","Dragon","79","Dragon","706720484491","706725944491","531"
"54_79_3","54","Dragon","79","Dragon","-939540272779","-939539012779","199"
"5_79_2","5","Dragon","79","Dragon","-1640436772012","-1640432872012","344"
"23_80_5","23","Dragon","80","Dragon","744668883013","744673323013","438"
"23_80_7","23","Dragon","80","Dragon","-283365637367","-283362337367","316"
"12_80_2","12","Dragon","80","Dragon","-1053607606204","-1053602086204","346"
"0_81_2","0","Dragon","81","Dragon","-307327447730","-307322647730","370"
"0_81_3","0","Dragon","81","Dragon","-793785045150","-793783005150","690"
"13_81_2","13","Dragon","81","Dragon","-897091549508","-897090889508","112"
"67_82_2","67","Dragon","82","Dragon","-541091698739","-541091038739","155"
"67_82_3","67","Dragon","82","Dragon","-1840723693197","-1840717753197","371"
"10_82_1","10","Dragon","82","Dragon","-762927024905","-762921504905","665"
"6_83_4","6","Dragon","83","Dragon","-40652407844","-40651087844","596"
"6_83_5","6","Dragon","83","Dragon","-871145882070","-871142882070","542"
"3_83_1","3","Dragon","83","Dragon","7447317166","7451697166","581"
"56_84_1","56","Dragon","84","Dragon","-571286011697","-571283791697","102"
"29_84_1","29","Dragon","84","Dragon","-712169305616","-712166785616","477"
